Date,Meal,Description,Qty,Points
18-Aug,Breakfast,Low-fat milk,1 cup(s),4
18-Aug,Breakfast,Cheerios Orginal toasted whole grain oat cereal,1 oz,3
18-Aug,Lunch,Uncooked carros(s),1/2 cup(s),0
18-Aug,Lunch,Fresh apple(s),1 medium,0
18-Aug,Lunch,Kirklan Signature 98% Fat free turkey breast slices browned in vegetable oil,2 1/2 slice(s),1
18-Aug,Lunch,365 Everday Value 8 Gain bread,1 slice(s),3
18-Aug,Dinner,Cooked brocoli,1/2 cup(s),0
18-Aug,Dinner,Cooked lean beaf steak,3oz,3
18-Aug,Dinner,Plain baked potato(es),4oz,3
18-Aug,Dinner,Low-fat milk,1 cup(s),4
21-Aug,Breakfast,Low-fat milk,1 cup(s),4
21-Aug,Breakfast,Cheerios Orginal toasted whole grain oat cereal,1 oz,3
21-Aug,Lunch,Uncooked carros(s),1/2 cup(s),0
21-Aug,Lunch,Fresh apple(s),1 medium,0
21-Aug,Lunch,Kirklan Signature 98% Fat free turkey breast slices browned in vegetable oil,2 1/2 slice(s),1
21-Aug,Lunch,365 Everday Value 8 Gain bread,1 slice(s),3
21-Aug,Dinner,Near East Roasted garlic and olive oil couscous mix,1 1/2 oz,4
21-Aug,Dinner,Olive oil,1 tsp,1
21-Aug,Dinner,Cooked broccoli,1/2 cup(s),0
21-Aug,Dinner,Cooked farmed Atlantic salmon fillet(s),3 oz,0
21-Aug,Dinner,Low-fat milk,1 cup(s),4
